"18","Tambor de cincuenta y cinco galones (EUA)",13/08/2017,,2,0
"19","Camión cisterna",13/08/2017,,2,0
"26","Tonelada real",13/08/2017,,2,0
"29","Libra por mil pies cuadrados",13/08/2017,,2,0
"30","Día de potencia de caballos por tonelada métrica de aire seco",13/08/2017,,2,0
"31","Pescar",13/08/2017,,2,0
"32","Kilogramo por tonelada métrica seca del aire",13/08/2017,,2,0
"36","Pie cúbico por minuto por pie cuadrado",13/08/2017,,2,0
"44","Bolsa a granel de quinientos kilos",13/08/2017,,2,0
"45","Bolsa a granel de trescientos kilos",13/08/2017,,2,0
"46","Bolsa a granel de cincuenta libras",13/08/2017,,2,0
"47","Bolso de cincuenta libras",13/08/2017,,2,0
"48","Carga masiva",13/08/2017,,2,0
"53","Kilogramo teórico",13/08/2017,,2,0
"54","Tonelada teórica (UK)",13/08/2017,,2,0
"62","Por ciento por 1000 horas",13/08/2017,,2,0
"63","Tasa de fracaso en el tiempo",13/08/2017,,2,0
"64","Libra por pulgada cuadrada, calíbre",13/08/2017,,2,0
"66","Oersted",13/08/2017,,2,0
"69","Escala específica de prueba",13/08/2017,,2,0
"71","Voltios amperios por libra",13/08/2017,,2,0
"72","Vatio por libra",13/08/2017,,2,0
"73","Amperios por centímetro",13/08/2017,,2,0
"76","Gauss",13/08/2017,,2,0
"78","Kilogauss",13/08/2017,,2,0
"84","Kilopound-force por pulgada cuadrada",13/08/2017,,2,0
"90","Saybold segundo universal",13/08/2017,,2,0
"92","Calorías por centímetro cúbico",13/08/2017,,2,0
"93","Calorías por gramo",13/08/2017,,2,0
"94","Unidad de curl",13/08/2017,,2,0
"95","Veinte mil galones",13/08/2017,,2,0
"96","Diez mil galones (US)",13/08/2017,,2,0
"97","Diez kilos de tambor",13/08/2017,,2,0
"98","Quince kilos de tambor",13/08/2017,,2,0
"05","Ascensor",13/08/2017,,2,0
"06","Pequeño aerosol",13/08/2017,,2,0
"08","Montón de calor",13/08/2017,,2,0
